,age,sex,race,region,highest_grade,employment_status,marital_status,religious,spiritual,party,lib_cons,death_penalty,court_harsh,income,sex_partners,sex_freq,bar,tv,relatives,spanking,income_distribution,standard_living,birth_control,immigration,govt_help_poor,govt_help_sick,govt_more_less,govt_help_blacks,affirmative_action,gun,tax_approp,divorce_ease,numb_children,income_bucket
3322,57.0,1.0,15.0,0.0,18.0,6.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,130375.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,7
3323,62.0,0.0,15.0,0.0,17.0,6.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,108646.0,1.0,2.0,0.0,2.0,5.0,2.0,3.0,2.0,0.0,1.0,4.0,2.0,3.0,3.0,0.0,1.0,1.0,2.0,2.0,7
3324,41.0,0.0,15.0,0.0,17.0,6.0,2.0,2.0,3.0,5.0,2.0,1.0,0.0,48891.0,1.0,1.0,0.0,2.0,5.0,2.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,1.0,3.0,4
3325,76.0,1.0,15.0,0.0,12.0,0.0,4.0,2.0,3.0,3.0,3.0,1.0,0.0,12223.0,0.0,0.0,0.0,1.0,5.0,2.0,7.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,2.0,2.0,1
3326,38.0,1.0,15.0,0.0,16.0,6.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,73337.0,1.0,3.0,0.0,3.0,3.0,3.0,7.0,3.0,1.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,2.0,5
3327,69.0,1.0,15.0,0.0,8.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,0.0,14938.0,0.0,0.0,6.0,6.0,2.0,2.0,4.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,4.0,1
3328,60.0,1.0,15.0,0.0,12.0,6.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,48891.0,1.0,2.0,4.0,3.0,4.0,1.0,6.0,2.0,0.0,2.0,5.0,4.0,5.0,5.0,0.0,1.0,2.0,2.0,2.0,4
3329,66.0,1.0,15.0,0.0,12.0,2.0,1.0,1.0,3.0,0.0,5.0,1.0,0.0,17655.0,5.0,0.0,0.0,12.0,0.0,1.0,7.0,3.0,1.0,0.0,3.0,3.0,5.0,5.0,3.0,1.0,2.0,0.0,2.0,1
3330,34.0,1.0,15.0,6.0,12.0,6.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,40743.0,1.0,2.0,1.0,3.0,5.0,2.0,4.0,2.0,3.0,0.0,3.0,3.0,3.0,5.0,0.0,1.0,1.0,2.0,2.0,4
3331,35.0,0.0,15.0,6.0,12.0,3.0,0.0,2.0,3.0,5.0,3.0,0.0,1.0,17655.0,3.0,4.0,0.0,0.0,6.0,2.0,5.0,4.0,1.0,1.0,3.0,3.0,5.0,4.0,0.0,0.0,2.0,1.0,2.0,1
